Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.433545",22.00
2,7.905694e-01,10689,"1 0.473042",26.62
3,3.952847e-01,80257,"1 0.494955",29.12
4,1.976424e-01,621313,"1 0.531263",31.00
5,9.882118e-02,4888065,"1 0.579042",31.00
