Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.368254",13.25
2,2.500000e-01,3681,"0.427319",15.75
3,1.250000e-01,26945,"0.477043",17.00
4,6.250000e-02,205953,"0.511113",17.00
5,3.125000e-02,1609985,"0.534524",17.00
