Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.605236",18.38
2,2.500000e-01,3681,"0.637134",22.25
3,1.250000e-01,26945,"0.66307",24.12
4,6.250000e-02,205953,"0.691696",25.00
5,3.125000e-02,1609985,"0.710602",25.00
