Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.835184e-01,293,"0.183398",12.00
2,9.175921e-02,1113,"0.247049",13.00
3,4.587960e-02,4337,"0.269593",14.00
4,2.293980e-02,17121,"0.285837",14.00
5,1.146990e-02,68033,"0.29246",14.75
6,5.734951e-03,271233,"0.295673",15.00
