Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.250000e-01,217,"0.219144",7.12
2,6.250000e-02,817,"0.259245",8.00
3,3.125000e-02,3169,"0.281217",8.00
4,1.562500e-02,12481,"0.28886",8.00
5,7.812500e-03,49537,"0.292602",8.00
6,3.906250e-03,197377,"0.295208",8.00
