Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.495089e-01,425,"0.18921",13.00
2,7.475447e-02,1617,"0.249181",14.00
3,3.737724e-02,6305,"0.255386",14.00
4,1.868862e-02,24897,"0.258385",14.88
5,9.344309e-03,98945,"0.259994",15.00
6,4.672154e-03,394497,"0.260463",15.00
