Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.568844",22.25
2,7.905694e-01,10689,"1 0.669038",27.12
3,3.952847e-01,80257,"1 0.70557",29.00
4,1.976424e-01,621313,"1 0.730952",30.00
5,9.882118e-02,4888065,"1 0.747809",30.75
