Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.344515",49.38
2,7.905694e-01,10689,"1 0.404024",55.75
3,3.952847e-01,80257,"1 0.460382",60.25
4,1.976424e-01,621313,"1 0.51276",60.00
5,9.882118e-02,4888065,"1 0.552058",64.00
