Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,3.535534e-01,165,"0.258297",9.12
2,1.767767e-01,969,"0.31506",11.00
3,8.838835e-02,6545,"0.337932",12.00
4,4.419417e-02,47905,"0.357162",12.00
5,2.209709e-02,366145,"0.387937",12.00
