Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.987527e-01,249,"0.169504",12.00
2,9.937634e-02,945,"0.237864",13.00
3,4.968817e-02,3681,"0.2761",13.00
4,2.484408e-02,14529,"0.30136",13.00
5,1.242204e-02,57729,"0.319438",13.00
6,6.211021e-03,230145,"0.332869",13.00
