Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,4.330127e-01,4401,"0.375261",15.00
2,2.165064e-01,31841,"0.388439",15.00
3,1.082532e-01,241857,"0.390377",15.00
4,5.412659e-02,1884545,"0.392483",15.00
5,2.706329e-02,14877441,"0.392275",15.00
