Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,9.961539e-02,2403,"1 1 0.197851",8.00
2,4.980769e-02,9383,"1 1 0.247248",8.00
3,2.490385e-02,37071,"1 1 0.273107",8.38
4,1.245192e-02,147359,"1 1 0.291299",9.00
5,6.225962e-03,587583,"1 1 0.303745",9.00
6,3.112981e-03,2346623,"1 1 0.312373",9.00
