Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.577005",26.12
2,2.500000e-01,3681,"0.598608",32.88
3,1.250000e-01,26945,"0.63943",38.00
4,6.250000e-02,205953,"0.667483",40.00
5,3.125000e-02,1609985,"0.686981",41.00
