Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,3.535534e-01,165,"0.258297",9.00
2,1.767767e-01,969,"0.315719",11.00
3,8.838835e-02,6545,"0.32649",12.00
4,4.419417e-02,47905,"0.337907",12.00
5,2.209709e-02,366145,"0.373562",12.00
