Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,3.075681e-01,2551,"0.653512",17.88
2,1.537841e-01,18741,"0.659758",21.25
3,7.689203e-02,143625,"0.661364",22.50
4,3.844601e-02,1124497,"0.686008",23.00
5,1.922301e-02,8899361,"0.706372",23.00
