Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,989,"0.450333",10.00
2,2.500000e-01,7257,"0.499488",10.50
3,1.250000e-01,55601,"0.530141",11.00
4,6.250000e-02,435297,"0.538724",11.00
5,3.125000e-02,3444929,"0.541884",11.00
