Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.835184e-01,293,"0.250073",8.00
2,9.175921e-02,1113,"0.326938",9.00
3,4.587960e-02,4337,"0.398478",10.12
4,2.293980e-02,17121,"0.43201",11.00
5,1.146990e-02,68033,"0.445065",11.00
6,5.734951e-03,271233,"0.449493",11.00
