Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.987527e-01,361,"0.297072",8.12
2,9.937634e-02,1393,"0.301669",9.00
3,4.968817e-02,5473,"0.338385",9.00
4,2.484408e-02,21697,"0.370997",9.75
5,1.242204e-02,86401,"0.384968",10.00
6,6.211021e-03,344833,"0.390194",10.00
