Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.987527e-01,361,"0.258887",8.00
2,9.937634e-02,1393,"0.262227",8.00
3,4.968817e-02,5473,"0.301535",8.88
4,2.484408e-02,21697,"0.322353",9.00
5,1.242204e-02,86401,"0.329394",9.00
6,6.211021e-03,344833,"0.331616",9.00
