Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,8.838835e-02,1040,"1 0.218916",8.00
2,4.419417e-02,4000,"1 0.271609",8.25
3,2.209709e-02,15680,"1 0.288573",9.00
4,1.104854e-02,62080,"1 0.295893",9.00
5,5.524272e-03,247040,"1 0.298594",9.00
6,2.762136e-03,985600,"1 0.299437",9.00
