Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,1481,"0.506483",13.88
2,2.500000e-01,10881,"0.58181",14.38
3,1.250000e-01,83393,"0.626695",15.00
4,6.250000e-02,652929,"0.644356",15.00
5,3.125000e-02,5167361,"0.651469",15.00
