Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.55785",22.62
2,7.905694e-01,10689,"1 0.644437",27.00
3,3.952847e-01,80257,"1 0.653313",28.25
4,1.976424e-01,621313,"1 0.667682",29.25
5,9.882118e-02,4888065,"1 0.689819",30.00
