Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.370789",13.50
2,2.500000e-01,3681,"0.510484",15.75
3,1.250000e-01,26945,"0.561541",17.00
4,6.250000e-02,205953,"0.582176",18.00
5,3.125000e-02,1609985,"0.593314",18.00
