Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,4305,"1 1 0.650983",24.62
2,7.905694e-01,32449,"1 1 0.651959",26.38
3,3.952847e-01,251777,"1 1 0.651476",27.50
4,1.976424e-01,1983233,"1 1 0.66133",28.00
5,9.882118e-02,15742465,"1 1 0.684047",28.00
