Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.495089e-01,297,"0.239907",8.88
2,7.475447e-02,1105,"0.314",10.00
3,3.737724e-02,4257,"0.359051",10.00
4,1.868862e-02,16705,"0.393963",10.00
5,9.344309e-03,66177,"0.4092",10.00
6,4.672154e-03,263425,"0.418455",10.00
