Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.432817",22.38
2,7.905694e-01,10689,"1 0.493122",26.25
3,3.952847e-01,80257,"1 0.542386",29.12
4,1.976424e-01,621313,"1 0.580378",30.75
5,9.882118e-02,4888065,"1 0.608732",31.00
