Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,4.330127e-01,4401,"0.37237",15.00
2,2.165064e-01,31841,"0.429022",15.00
3,1.082532e-01,241857,"0.448406",15.00
4,5.412659e-02,1884545,"0.460025",15.00
5,2.706329e-02,14877441,"0.486913",15.00
