Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.495089e-01,297,"0.180197",8.25
2,7.475447e-02,1105,"0.218887",9.00
3,3.737724e-02,4257,"0.27368",9.12
4,1.868862e-02,16705,"0.294236",9.50
5,9.344309e-03,66177,"0.307154",10.00
6,4.672154e-03,263425,"0.321688",10.00
