Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.987527e-01,249,"0.160052",11.88
2,9.937634e-02,945,"0.153884",12.62
3,4.968817e-02,3681,"0.1675",13.00
4,2.484408e-02,14529,"0.173693",13.00
5,1.242204e-02,57729,"0.175892",13.50
6,6.211021e-03,230145,"0.176861",14.00
