Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.581139e+00,1505,"1 0.55785",22.62
2,7.905694e-01,10689,"1 0.667028",27.50
3,3.952847e-01,80257,"1 0.695997",28.88
4,1.976424e-01,621313,"1 0.712523",29.88
5,9.882118e-02,4888065,"1 0.727333",30.38
