Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,3.075681e-01,939,"0.444325",17.00
2,1.537841e-01,6341,"0.563389",23.00
3,7.689203e-02,46409,"0.652581",26.12
4,3.844601e-02,354705,"0.695444",28.00
5,1.922301e-02,2772769,"0.711632",28.25
