Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,9.961539e-02,2403,"1 1 0.186151",8.00
2,4.980769e-02,9383,"1 1 0.197496",8.00
3,2.490385e-02,37071,"1 1 0.217443",8.88
4,1.245192e-02,147359,"1 1 0.242363",9.00
5,6.225962e-03,587583,"1 1 0.254489",9.00
6,3.112981e-03,2346623,"1 1 0.259467",9.00
