Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,1.835184e-01,293,"0.250073",8.00
2,9.175921e-02,1113,"0.329362",9.00
3,4.587960e-02,4337,"0.406726",10.25
4,2.293980e-02,17121,"0.437159",11.00
5,1.146990e-02,68033,"0.45349",11.00
6,5.734951e-03,271233,"0.460771",11.00
