Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,5.000000e-01,545,"0.364967",14.00
2,2.500000e-01,3681,"0.385561",15.75
3,1.250000e-01,26945,"0.389796",17.00
4,6.250000e-02,205953,"0.390213",17.00
5,3.125000e-02,1609985,"0.390178",17.00
