Refinements,mesh-width,DOFs,SpectralRadii,AvgIters
1,3.535534e-01,165,"0.259832",8.50
2,1.767767e-01,969,"0.277907",9.00
3,8.838835e-02,6545,"0.299598",10.00
4,4.419417e-02,47905,"0.30584",10.00
5,2.209709e-02,366145,"0.308767",10.00
